date,ticker,expiry_date,strike,last,bid,ask,volume,delta,gamma,theta,vega,ivol,mid
2025-07-20,VIX 08/20/25 C10 Index,2025-08-20,10,9.17,8.9,9.25,25.0,1.0,0.0,0.0,0.0,,9.075
2025-07-20,VIX 08/20/25 C12 Index,2025-08-20,12,7.15,6.9,7.25,1.0,1.0,0.0,0.0,0.0,,7.075
2025-07-20,VIX 08/20/25 C14 Index,2025-08-20,14,5.66,4.95,5.3,29.0,0.992116,0.001011422,-0.001057861,0.0006844032,41.68805,5.125
2025-07-20,VIX 08/20/25 C15 Index,2025-08-20,15,4.3,4.05,4.35,51.0,0.92798,0.007601,-0.006123,0.007512,57.71499,4.199999999999999
2025-07-20,VIX 08/20/25 C16 Index,2025-08-20,16,3.35,3.1,3.6,1145.0,0.859827,0.012367,-0.010846,0.012482,58.94701,3.35
2025-07-20,VIX 08/20/25 C18 Index,2025-08-20,18,2.22,2.06,2.38,1960.0,0.651285,0.017109,-0.022837,0.021063,71.74827,2.2199999999999998
2025-07-20,VIX 08/20/25 C20 Index,2025-08-20,20,1.58,1.47,1.75,6515.0,0.480615,0.015208,-0.030085,0.022709,87.20995,1.6099999999999999
2025-07-20,VIX 08/20/25 C22 Index,2025-08-20,22,1.2,1.04,1.36,12441.0,0.366187,0.01289,-0.03178,0.021468,97.26659,1.2000000000000002
2025-07-20,VIX 08/20/25 C24 Index,2025-08-20,24,0.96,0.79,1.11,8451.0,0.289513,0.01066,-0.031817,0.019524,106.9709,0.9500000000000001
2025-07-20,VIX 08/20/25 C25 Index,2025-08-20,25,0.87,0.74,1.03,20046.0,0.264636,0.009666,-0.032152,0.018687,112.9108,0.885
2025-07-20,VIX 08/20/25 C26 Index,2025-08-20,26,0.81,0.63,0.96,9541.0,0.238385,0.008865,-0.031407,0.017685,116.5071,0.7949999999999999
2025-07-20,VIX 08/20/25 C28 Index,2025-08-20,28,0.71,0.51,0.84,733.0,0.200137,0.007501,-0.030376,0.015996,124.5388,0.675
2025-07-20,VIX 08/20/25 C30 Index,2025-08-20,30,0.6,0.55,0.75,7682.0,0.198985,0.00655,-0.034619,0.015974,142.1253,0.65
2025-07-20,VIX 08/20/25 C32 Index,2025-08-20,32,0.55,0.36,0.68,23491.0,0.150189,0.005609,-0.028227,0.013331,138.7996,0.52
2025-07-20,VIX 08/20/25 C34 Index,2025-08-20,34,0.47,0.31,0.62,922.0,0.132798,0.004941,-0.027127,0.012265,144.963,0.46499999999999997
2025-07-20,VIX 08/20/25 C35 Index,2025-08-20,35,0.45,0.29,0.59,97647.0,0.125133,0.004653,-0.026532,0.01177,147.7353,0.43999999999999995
2025-07-20,VIX 08/20/25 C36 Index,2025-08-20,36,0.45,0.27,0.56,87.0,0.117765,0.004386,-0.02585,0.011279,150.1946,0.41500000000000004
2025-07-20,VIX 08/20/25 C38 Index,2025-08-20,38,0.39,0.24,0.52,1395.0,0.106601,0.003942,-0.02495,0.010504,155.638,0.38
2025-07-20,VIX 08/20/25 C40 Index,2025-08-20,40,0.36,0.35,0.48,627.0,0.119905,0.003867,-0.030051,0.011419,172.5102,0.415
