ticker,name,price,market_cap,weight_pct
GE US Equity,GENERAL ELECTRIC,263.27,280747611502.61,12.396155030941925
PM US Equity,PHILIP MORRIS INTERNATIONAL,178.73,278196315938.8599,12.2835048994992
IBM US Equity,INTL BUSINESS MACHINES CORP,285.87,265686598895.25,11.731149739518209
WFC US Equity,WELLS FARGO & CO,80.64,262417272445.44,11.586795608411995
MS US Equity,MORGAN STANLEY,140.83,225936267021.14,9.976010047302951
DIS US Equity,WALT DISNEY CO/THE,121.42,218282357081.62,9.6380586264686
TXN US Equity,TEXAS INSTRUMENTS INC,216.62,196793221752.98,8.689225432166477
CAT US Equity,CATERPILLAR INC,413.71,194574009548.37997,8.59123813892632
VZ US Equity,VERIZON COMMUNICATIONS INC,40.84,172191850687.76,7.602974304094598
QCOM US Equity,QUALCOMM INC,154.8,169970400000.00003,7.504888172669721
